no_diacritics,with_diacritics
وظلت عصبا نحيا مثل,وظَلَّتْ عُصَباً نَحِيًّا مثْلَ
النجي استبرز النجيا والنحي,النَّجيِّ اسْتَبْرَزَ النَّجِيَّا والنَّحي
من السهام العريض النصل,من السِّهام العريضُ النَّصْل
الذي إذا أردت أن,الذي إذا أَردت أَن
ترمي به اضطجعته حتى,تَرمي به اضْطَجَعْته حتى
ترسلهوالمنحاة ما بين البئر,تُرْسلهوالمَنْحاة ما بين البئر
إلى منتهى السانية قال,إلى منتهى السَّانيِة قال
جرير لقد ولدت أم,جرير لقد ولدَتْ أُمُ
الفرزدق فخة ترى بين,الفَرَزدَقِ فَخَّةً تَرَى بَيْنَ
فخذيها مناحي أربعا الأزهري,فَخْذَيْها مَناحِيَ أَرْبَعا الأَزهري
المنحاة منتهى مذهب السانية,المَنْحاةُ مُنتهى مذهب السَّانِية
وربما وضع عنده حجر,وربما وُضِع عنده حجر
ليعلم قائد السانية أنه,ليَعلم قائدُ السانية أَنه
المنتهى فيتيسر منعطفا لأنه,المُنتَهَى فيَتَيَسَّر مُنْعَطِفاً لأَنه
إذا جاوزه تقطع الغرب,إذا جاوَزه تقطَّع الغَرْبُ
وأداته الجوهري والمنحاة طريق,وأَداتُه الجوهري والمَنحاةُ طريق
السانية قال ابن بري,السانيِة قال ابن بري
ومنه قول الراجز كأن,ومنه قول الراجز كأَنَّ
عيني وقد بانوني غربان,عَينَيَّ وقد بانُوني غَرْبانِ
في منحاة منجنون وقال,في مَنْحاةِ مَنْجَنُونِ وقال
ابن الأعرابي المنحاة مسيل,ابن الأَعرابي المَنْحاة مَسِيلُ
الماء إذا كان ملتويا,الماء إذا كان مُلْتَوِياً
وأنشد وفي أيمانهم بيض,وأَنشد وفي أَيْمانِهِمْ بِيضٌ
رقاق كباقي السيل أصبح,رِقاقٌ كباقِي السَّيلِ أَصْبَحَ
في المناحي وأهل المنحاة,في المَناحِي وأَهْلُ المَنحاةِ
القوم البعداء الذين ليسوا,القوم البُعداء الذين ليسوا
بأقاربوقوله في الحديث يأتيني,بأَقارِبوقوله في الحديث يأْتيني
أنحاء من الملائكة أي,أَنْحاء مِن الملائكة أَي
ضروب منهم واحدهم نحو,ضُرُوبٌ منهم واحدهم نَحْوٌ
يعني أن الملائكة كانوا,يعني أَن الملائكةَ كانوا
يزورونه سوى جبريل عليه,يَزُورُونه سِوَى جبريلَ عليه
السلاموبنو نحو بطن من,السلاموبنو نَحْوٍ بَطْنٌ من
الأزد وفي الصحاح قوم,الأَزْد وفي الصحاح قوم
العرب الهجنة من الكلام,العرب الهُجْنة من الكلام
ما يعيبكوالهجين العربي ابن,ما يَعِيبُكوالهَجِينُ العربيّ ابنُ
الأمة لأنه معيب وقيل,الأَمة لأَنه مَعِيبٌ وقيل
هو ابن الأمة الراعية,هو ابن الأَمة الراعية
ما لم تحصن فإذا,ما لم تُحَصَّنْ فإِذا
حصنت فليس الولد بهجين,حُصِّنَتْ فليس الولد بهَجينٍ
والجمع هجن وهجناء وهجنان,والجمع هُجُنٌ وهُجَناء وهُجْنانٌ
ومهاجين ومهاجنة قال حسان,ومَهاجِينُ ومَهاجِنَةٌ قال حسان
مهاجنة إذا نسبوا عبيد,مَهاجِنةٌ إِذا نُسِبوا عَبيدٌ
عضاريط مغالثة الزناد أي,عَضَارِيطٌ مَغالِثةُ الزِّنادِ أَي
مؤتشبو الزناد وقيل رخوو,مُؤْتَشِبُو الزناد وقيل رِخْوُو
وإنما قلت في مهاجن,وإِنما قلت في مَهاجِن
ومهاجنة إنهما جمع هجين,ومَهاجنة إِنهما جمع هَجِينُ
مسامحة وحقيقته أنه من,مسامحةً وحقيقته أَنه من
باب محاسن وملامح والأنثى,باب مَحاسِنَ ومَلامح والأُنثى
هجينة من نسوة هجن,هَجينة من نسوة هُجْن
وهجائن وهجان وقد هجنا,وهَجائنَ وهِجانٍ وقد هَجُنا
هجنة وهجانة وهجانة وهجونة,هُجْنة وهَجانة وهِجانة وهُجُونة
أبو العباس أحمد ابن,أَبو العباس أَحمد ابن
يحيى قال الهجين الذي,يحيى قال الهَجِين الذي
أبوه خير من أمه,أَبوه خير من أُمه
قال أبو منصور وهذا,قال أَبو منصور وهذا
قيل لولد العربي من,قيل لولد العربيّ من
غير العربية هجين لأن,غير العَربية هَجين لأَن
الغالب على ألوان العرب,الغالب على أَلوان العرب
الأدمة وكانت العرب تسمي,الأُدْمة وكانت العرب تسمي
العجم الحمراء ورقاب المزاود,العجمَ الحمراءَ ورقابَ المَزاوِد
لغلبة البياض على ألوانهم,لغلبة البياض على أَلوانهم
ويقولون لمن علا لونه,ويقولون لمن علا لونَه
البياض أحمر ولذلك قال,البياضُ أَحمرُ ولذلك قال
وسلم لعائشة يا حميراء,وسلم لعائشة يا حُمَيراء
بعثت إلى الأحمر والأسود,بُعِثْتُ إِلى الأَحمر والأَسود
فأسودهم العرب وأحمرهم العجموقالت,فأَسودهم العرب وأَحمرهم العجموقالت
العرب لأولادها من العجميات,العرب لأَولادها من العجميات
اللاتي يغلب على ألوانهن,اللاتي يغلب على أَلوانهن
البياض هجن وهجناء لغلبة,البياض هُجْنٌ وهُجَناء لغلبة
البياض على ألوانهم وإشباههم,البياض على أَلوانهم وإِشباههم
أمهاتهموفرس هجين بين الهجنة,أُمهاتهموفرس هَجِين بَيّنُ الهُجْنة
إذا لم يكن عتيقاوبرذونة,إِذا لم يكن عتيقاًوبِرْذَوْنَة
هجين بغير هاء الأزهري,هَجِين بغير هاء الأَزهري
ولدته برذونة من حصان,ولدته بِرْذَوْنة من حِصَانٍ
عربي وخيل هجنوالهجان من,عربي وخيل هُجْنٌوالهِجانُ من
الإبل البيض الكرام قال,الإِبل البيضُ الكرام قال
عمرو بن كلثوم ذراعي,عمرو بن كُلْثوم ذِرَاعَيْ
عيطل أدماء بكر هجان,عَيْطَلٍ أَدْماءَ بِكْرٍ هِجانِ
اللون لم تقرأ جنينا,اللَّوْنِ لم تَقْرأْ جَنينا
هجان وناقة هجان وربما,هِجانٌ وناقة هِجانٌ وربما
قالوا هجائن قال ابن,قالوا هَجائِنُ قال ابن
أحمر كأن على الجمال,أَحمر كأَنَّ على الجِمالِ
أوان خفت هجائن من,أَوانَ خَفَّتْ هَجائِنَ من
نعاج أوارعينا ابن سيده,نِعاجِ أُوارَعِينا ابن سيده
والهجان من الإبل البيضاء,والهِجانُ من الإِبل البيضاءُ
الخالصة اللون والعتق من,الخالصةُ اللونِ والعِتْقِ من
نوق هجن وهجائن وهجان,نوق هُجُنٍ وهَجائن وهِجانٍ
باب جنب ورضا ومنهم,باب جُنُب ورِضاً ومنهم
من يجعله تكسيرا وهو,من يجعله تكسيراً وهو
مذهب سيبويه وذلك أن,مذهب سيبويه وذلك أَن
الألف في هجان الواحد,الأَلف في هِجانٍ الواحد
بمنزلة ألف ناقة كناز,بمنزلة أَلِفِ ناقةٍ كِنَازٍ
ومرأة ضناك والألف في,ومرأَةٍ ضِنَاك والأَلفُ في
هجان في الجمع بمنزلة,هِجانٍ في الجمع بمنزلة
ألف ظراف وشراف وذلك,أَلِفِ ظِرافٍ وشِرافٍ وذلك
لأن العرب كسرت فعالا,لأَن العرب كَسَّرَتْ فِعَالاً
على فعال كما كسرت,على فِعَالٍ كما كسرت
فعيلا على فعال وعذرها,فَعِيلاً على فِعَالٍ وعُذْرُها
في ذلك أن فعيلا,في ذلك أَن فعيلاً
أخت فعال ألا ترى,أُخت فِعَالٍ أَلا ترى
أن كل واحد منهما,أَن كل واحد منهما
ثلاثي الأصل وثالثه حرف,ثلاثي الأَصل وثالثه حرف
لين وقد اعتقبا أيضا,لين وقد اعْتَقَبا أَيضاً
كليب وكلاب وعبيد وعباد,كَلِيبٍ وكِلابٍ وعَبِيدٍ وعِبادٍ
فلما كانا كذلك وإنما,فلما كانا كذلك وإِنما
بينهما اختلاف في حرف,بينهما اختلافٌ في حرف
ومعلوم مع ذلك قرب,ومعلوم ٌمع ذلك قربُ
الياء من الألف وأنها,الياء من الأَلف وأَنها
إلى الياء أقرب منها,إِلى الياء أَقرب منها
إلى الواو كسر أحدهما,إِلى الواو كُسِّرَ أَحدهما
صاحبه فقيل ناقة هجان,صاحبه فقيل ناقة هِجانٌ
وأينق هجان كما قيل,وأَيْنُقٌ هِجانٌ كما قيل
ظريف وظراف وشريف وشراف,ظريف وظِراف وشريف وشِرَاف
فأما قوله هجان المحيا,فأَما قوله هِجانُ المُحَيَّا
عوهج الخلق سربلت من,عَوْهَجُ الخَلْقِ سُرْبِلَتْ من
الحسن سربالا عتيق البنائق,الحُسْنِ سِرْبالاً عَتِيقَ البَنائِق
فقد تكون النقية وقد,فقد تكونُ النَّقِيَّةَ وقد
تكون البيضاءوأهجن الرجل إذا,تكون البيضاءوأَهْجَنَ الرجلُ إِذا
كثر هجان إبله وهي,كثر هِجانُ إِبله وهي
كرامها وقال في قول,كِرامها وقال في قول
كعب حرف أخوها من,كعب حَرْفٌ أَخوها من
مهجنة وعمها خالها قوداء,مُهَجَّنةٍ وعَمُّها خالُها قَوْداءُ
شمليل قال أراد بمهجنة,شِمْليلُ قال أَراد بمُهَجَّنة
أنها ممنوعة من فحول,أَنها ممنوعة من فحول
الناس إلا من فحول,الناس إِلا من فحول
بلادها لعتقها وكرمها وقيل,بلادها لعِتْقِها وكرمها وقيل
حمل عليها في صغرها,حُمِلَ عليها في صِغَرها
وقيل أراد بالمهجنة أنها,وقيل أَراد بالمُهَجَّنةِ أَنها
من إبل كرام يقال,من إِبل كرام يقال
امرأة هجان وناقة هجان,امرأَة هِجانٌ وناقةِ هِجانٌ
أي كريمةوقال الأزهري هذه,أَي كريمةوقال الأَزهري هذه
ناقة ضربها أبوها ليس,ناقة ضربها أَبوها ليس
أخوها فجاءت بذكر ثم,أَخوها فجاءَت بذكر ثم
آخر فالولدان ابناها لأنهما,آخر فالولدان ابناها لأَنهما
ولدا منها وهما أخواها,ولدا منها وهما أَخواها
أيضا لأبيها لأنهما ولدا,أَيضاً لأَبيها لأَنهما ولدا
أبيها ثم ضرب أحد,أَبيها ثم ضرب أَحدُ
الأخوين الأم فجاءت الأم,الأَخوين الأُمَّ فجاءت الأُم
فأبوها أخوها لأمها لأنه,فأَبوها أَخوها لأُمها لأَنه
ولد من أمها والأخ,ولد من أُمها والأَخ
الآخر الذي لم يضرب,الآخر الذي لم يَضْرِب
عمها لأنه أخو أبيها,عمُّها لأَنه أَخو أَبيها
وهو خالها لأنه أخو,وهو خالها لأَنه أَخو
أمها لأبيها لأنه من,أُمها لأَبيها لأَنه من
أبيها وأبوه نزا على,أَبيها وأَبوه نزا على
أمهوقال ثعلب أنشدني أبو,أُمهوقال ثعلب أَنشدني أَبو
نصر عن الأصمعي بيت,نصر عن الأَصمعي بيت
إنها ناقة كريمة مداخلة,إِنها ناقة كريمة مُداخَلة
عرضت هذا القول على,عَرَضْتُ هذا القول على
ابن الأعرابي فخطأ الأصمعي,ابن الأَعرابي فخطَّأَ الأَصمعي
وقال تداخل النسب يضوي,وقال تداخُل النسب يُضْوِي
الولد قال وقال المفضل,الولدَ قال وقال المفضل
أمه ولها ابن آخر,أُمه ولها ابن آخر
هو أخو هذا الجمل,هو أَخو هذا الجمل
أحدهما أباها لأنه وطئ,أَحدهما أَباها لأَنه وطئ
أمها وصار هو أخاها,أُمها وصار هو أَخاها
لأن أمها وضعته وصار,لأَن أُمها وضعته وصار
الآخر عمها لأنه أخو,الآخر عمها لأَنه أَخو
أبيها وصار هو خالها,أَبيها وصار هو خالها
روعي أن جملا نزا,روعي أن جملاً نزا
لأنه أخو أمها وقال,لأَنه أَخو أُمها وقال
ثعلب وهذا هو القولوالهجان,ثعلب وهذا هو القولوالهِجانُ
الخياروامرأة هجان كريمة من,الخياروامرأَة هجان كريمة من
نسوة هجائن وهي الكريمة,نسوة هَجائنَ وهي الكريمة
الحسب التي لم تعرق,الحَسَبِ التي لم تُعَرِّق
فيها الإماء تعريقا أبو,فيها الإِماء تَعْرِيقاً أَبو
زيد رجل هجين بين,زيد رجل هَجِينٌ بَيّنُ
الهجونة من قوم هجناء,الهُجُونة من قوم هُجَناءَ
وهجن وامرأة هجان أي,وهُجْنٍ وامرأَة هِجان أَي
نسوة هجن بينات الهجانةورجل,نسوة هُجْنٍ بَيِّنات الهجانةورجل
هجان كريم الحسب نقيهوبعير,هِجانٌ كريمُ الحَسَبِ نَقِيُّهوبعير
هجان كريموقال الأصمعي في,هِجانٌ كريموقال الأَصمعي في
وجهه هذا جناي وهجانه,وجهه هذا جَنايَ وهِجانُه
فيه إذ كل جان,فيه إِذ كلّ جانٍ
يده إلى فيه يعني,يَدُه إِلى فيه يعني
خياره وخالصه اليزيدي هو,خياره وخالصه اليزيديُّ هو
هجان بين الهجانة ورجل,هِجانٌ بَيِّنُ الهِجَانة ورجل
هجين بين الهجنة والهجنة,هَجِينَ بَيِّنُ الهُجْنةِ والهُجْنةُ
في الناس والخيل إنما,في الناس والخيل إِنما
تكون من قبل الأم,تكون من قبل الأُم
فإذا كان الأب عتيقا,فإِذا كان الأَب عتيقاً
والأم ليست كذلك كان,والأُم ليست كذلك كان
الولد هجينا قال الراجز,الولد هجيناً قال الراجز
العبد والهجين والفلنقس ثلاثة,العبدُ والهَجِينُ والفَلَنْقَسُ ثلاثةٌ
فأيهم تلمس والإقراف من,فأَيَّهُم تَلَمَّسُ والإِقْرافُ من
قبل الأب الأزهري روى,قِبَلِ الأَب الأَزهري روى
الرواة أن روح بن,الرواةُ أَن رَوْح بن
زنباع كان تزوج هند,زِنْباع كان تزوَّج هندَ
بنت النعمان بن بشير,بنت النعمان بن بَشِير
هند إلا مهرة عربية,هِنْدُ إلا مُهْرَةٌ عربيةٌ
سليلة أفراس تجللها بغل,سَلِيلةُ أَفراسٍ تَجَلَّلَها بغْلُ
فإن نتجت مهرا كريما,فإن نُتِجَتْ مُهْراً كريماً
فبالحرى وإن يك إقراف,فبالحَرَى وإِن يَكُ إقرافٌ
فمن قبل الفحل قوله,فمن قِبَلِ الفَحْلِ قوله
أخرى وإن يك إقراف,أخرى وإن يك إقرافٌ
فجاء به الفحل وهكذا,فجاء به الفَحلُ وهكذا
ينتفي الأقواء قال والإقراف,ينتفي الأقواء قال والإقْرافُ
مداناة الهجنة من قبل,مُداناةُ الهُجْنة من قِبَلِ
الأب قال ابن حمزة,الأَب قال ابن حمزة
الهجين مأخوذ من الهجنة,الهَجِينْ مأْخوذ من الهُجْنَة
وهي الغلظ والهجان الكريم,وهي الغِلَظُ والهِجانُ الكريم
مأخوذ من الهجان وهو,مأْخوذ من الهِجَانِ وهو
الأبيضوالهجان البيض وهو أحسن,الأَبيضوالهِجان البِيضُ وهو أَحسنُ
البياض وأعتقه في الإبل,البياض وأَعتقه في الإبل
والرجال والنساء ويقال خيار,والرجال والنساء ويقال خِيارُ
كل شيء هجانه قال,كلِّ شيء هِجانُه قال
وإنما أخذ ذلك من,وإِنما أُخذ ذلك من
الإبلوأصل الهجان البيض وكل,الإبلوأَصلُ الهِجانِ البِيضُ وكلُّ
هجان أبيضوالهجان من كل,هِجان أَبيضُوالهِجانُ من كل
شيء الخالص وأنشد وإذا,شيء الخالصُ وأَنشد وإذا
قيل من هجان قريش,قيل مَنْ هِجانُ قُرَيْشٍ
كنت أنت الفتى وأنت,كنتَ أَنتَ الفَتى وأَنتَ
الهجان والعرب تعد البياض,الهِجانُ والعربُ تَعُدُّ البياضَ
من الألوان هجانا وكرماوفي,من الأَلوان هِجاناً وكَرَماًوفي
المثل جلت الهاجن عن,المثل جَلَّتِ الهاجِنُ عن
الولد أي صغرت يضرب,الوَلد أَي صَغُرَتْ يضرب
مثلا للصغير يتزين بزينة,مثلاً للصغير يتزين بزينة
الكبيروجلت الهاجن عن الرفد,الكبيروجَلَّتِ الهاجِنُ عن الرِّفْدِ
وهو القدح الضخموقال ابن,وهو القَدَح الضخموقال ابن
الأعرابي جلت العلبة عن,الأَعرابي جَلَّتِ العُلْبَة عن
الهاجن أي كبرت قال,الهاجن أَي كَبُرَتْ قال
وهي بنت اللبون يحمل,وهي بنتُ اللبون يُحْمَلُ
عليها فتلقح ثم تنتج,عليها فتَلْقَحُ ثم تُنْتَجُ
وهي حقة قال ولا,وهي حِقَّة قال ولا
تصلح أن يفعل بها,تصلح أَن يفعل بها
ذلك ابن شميل الهاجن,ذلك ابن شميل الهاجِنُ
القلوص يضرب بها الجمل,القَلُوصُ يضرب بها الجَمَلُ
وهي إبنة لبون فتلقح,وهي إبنة لَبُونٍ فتَلْقَحُ
وتنتج وهي حقة ولا,وتُنْتَجُ وهي حِقَّةٌ ولا
سنة مخصبة فتلك الهاجن,سنة مُخْصِبَةٍ فتلك الهاجنُ
وقد هجنت تهجن هجانا,وقد هَجَنَتْ تَهْجُنُ هِجاناً
وقد أهجنها الجمل إذا,وقد أَهْجَنَها الجملُ إذا
ضربها فألقحها وأنشد ابنوا,ضربها فأَلقحها وأَنشد ابْنُوا
على ذي صهركم وأحسنوا,على ذي صِهْركم وأَحْسِنُوا
ألم تروا صغرى اللقاح,أَلم تَرَوْا صُغْرَى اللِّقاحِ
تهجن قوله صغرى اللقاح,تَهْجُنُ قوله صغرى اللقاح
القلاص قال رجل لأهل,القلاص قال رجل لأَهل
إمرأته واعتلوا عليه بصغرها,إمرأَته واعْتَلُّوا عليه بصغرها
عن الوطء وقال هجنت,عن الوطء وقال هَجَنَتْ
بأكبرهم ولما تقطب يقال,بأَكبرهم ولَمَّا تُقْطَبِ يقال
قطبت الجارية أي خفضت,قُطِبَتِ الجارية أَي خُفِضَت
ابن بزرج غلمة أهيجنة,ابن بُزُرْج غِلْمَةٌ أُهَيْجنة
وذلك أن أهلهم أهجنوهم,وذلك أَن أَهلهم أَهْجَنُوهم
أي زوجوهم صغارا يزوج,أَي زَوَّجُوهم صغاراً يُزَوِّجُ
الغلام الصغير الجارية الصغيرة,الغلامُ الصغير الجاريةَ الصغيرة
فيقال أهجنهم أهلهم قال,فيقال أَهْجَنَهم أَهْلُهم قال
والهاجن على ميسورها ابنة,والهاجِنُ على مَيْسُورها ابنة
الحقة والهاجن على معسورها,الحِقَّة والهاجِنُ على مَعْسُورها
ابنة اللبونوناقة مهجنة وهي,ابنة اللَّبُونوناقة مُهَجَّنة وهي
المعتسرةويقال للقوم الكرام إنهم,المُعْتَسَرَةويقال للقوم الكرام إِنهم
لمن سراة الهجان وقال,لمن سَرَاةِ الهِجَانِ وقال
الشماخ ومثل سراة قومك,الشماخ ومِثْل سَرَاةِ قَوْمِك
لم يجاروا إلى الربع,لم يُجارَوْا إلى الرُّبُعِ
الهجان ولا الثمين الأزهري,الهِجانِ ولا الثَّمينِ الأَزهري
وأخبرت عن أبي الهيثم,وأُخْبرْتُ عن أَبي الهيثم
أنه قال الرواية الصحيحة,أَنه قال الرواية الصحيحة
ربع الرهان ولا الثمين,رُبُعِ الرِّهانِ ولا الثمين
يقول لم يجاروا إلى,يقول لم يُجارَوْا إلى
ربع رهانهم ولا ثمنه,رُبُع رِهانِهم ولا ثُمُنِه
قال والرهان الغاية التي,قال والرِّهانُ الغاية التي
